Time,EB_Left,EB_Thru,EB_Right,EB_U,EB_Peds,WB_Left,WB_Thru,WB_Right,WB_U,WB_Peds,NB_Left,NB_Thru,NB_Right,NB_U,NB_Peds,SB_Left,SB_Thru,SB_Right,SB_U,SB_Peds,Vehicle_Total
7:00,,201,12,,,0,351,,,,0,,2,,,,,,,,566
7:15,,200,8,,,0,352,,,,0,,2,,,,,,,,562
7:30,,182,12,,,0,311,,,,0,,7,,,,,,,,512
7:45,,211,20,,,0,244,,,,0,,1,,,,,,,,476
8:00,,188,17,,,0,205,,,,0,,2,,,,,,,,412
8:15,,166,21,,,0,147,,,,0,,2,,,,,,,,336
8:30,,191,14,,,0,215,,,,0,,2,,,,,,,,422
8:45,,156,10,,,0,135,,,,0,,4,,,,,,,,305
16:00,,296,38,,,,306,,,,0,,9,,,,,,,,649
16:15,,285,29,,,,217,,,,0,,13,,,,,,,,544
16:30,,291,18,,,,267,,,,0,,12,,,,,,,,588
16:45,,329,19,,,,222,,,,0,,5,,,,,,,,575
17:00,,301,13,,,,261,,,,0,,16,,,,,,,,591
17:15,,342,14,,,,224,,,,0,,8,,,,,,,,588
17:30,,337,21,,,,206,,,,0,,6,,,,,,,,570
17:45,,295,18,,,,180,,,,0,,12,,,,,,,,505
